Designator,"Mid X","Mid Y",Layer,Rotation
C1,130.800000mm,-90.362500mm,Top,90
C3,128.800000mm,-90.362500mm,Top,90
C4,138.620500mm,-116.634500mm,Top,270
C5,127.000000mm,-90.412500mm,Top,90
C6,132.800000mm,-90.362500mm,Top,90
C8,96.525000mm,-112.845000mm,Top,90
C9,101.825000mm,-112.845000mm,Top,270
C10,127.379400mm,-122.016100mm,Top,90
C11,105.362500mm,-110.467000mm,Top,0
C12,105.362500mm,-111.995000mm,Top,0
C13,103.090000mm,-111.647500mm,Top,270
D1,129.032000mm,-113.570000mm,Top,90
G***,102.000000mm,-121.240000mm,Top,0
J1,145.550000mm,-99.750000mm,Top,90
L1,122.911000mm,-115.570000mm,Top,180
LED1,112.607500mm,-106.413000mm,Top,180
LED2,112.577500mm,-104.353000mm,Top,180
LED3,112.577500mm,-102.213000mm,Top,180
LED_3V31,114.475700mm,-111.820000mm,Top,180
LED_5V1,142.877400mm,-108.214300mm,Top,270
LED_RX1,112.622700mm,-99.855600mm,Top,0
LED_TX1,112.647700mm,-97.455600mm,Top,0
R1,137.694800mm,-100.545400mm,Top,90
R2,137.694800mm,-102.530400mm,Top,90
R3,125.287500mm,-103.000000mm,Top,0
R4,125.287500mm,-105.600000mm,Top,0
R5,116.147700mm,-97.455600mm,Top,180
R6,116.122700mm,-99.855600mm,Top,180
R7,116.082500mm,-106.413000mm,Top,0
R8,129.261400mm,-122.549600mm,Top,0
R9,129.261400mm,-121.406600mm,Top,180
R10,128.139000mm,-119.933400mm,Top,180
R11,116.052500mm,-104.353000mm,Top,0
R12,100.460000mm,-110.395000mm,Top,0
R13,116.052500mm,-102.213000mm,Top,0
R14,96.034000mm,-98.741500mm,Top,90
R15,96.130000mm,-94.642500mm,Top,270
R16,114.449500mm,-109.788600mm,Top,180
R17,144.977400mm,-108.214300mm,Top,270
U1,134.874000mm,-118.364000mm,Top,180
U2,101.625000mm,-104.470000mm,Top,0
U3,129.825000mm,-96.900000mm,Top,0
U4,137.667820mm,-96.857860mm,Top,0
Y1,99.175000mm,-112.845000mm,Top,90
